标题,播放量,点赞数,收藏数,弹幕数,投币数,评论数,分享数,分区,UP主,视频时长(秒),发布时间,发布日期,发布小时,分区大类,标题长度,是否周末,发布时段
我这视频看完没啥感觉，但是暖暖的！,2115569.0,219375.0,15234.0,3217.0,104535.0,4413.0,2320.0,亲子,爱画画的子衿,338.0,2026-07-14 17:49:00,2026-07-14,17,生活,17,工作日,午间(12-17)
属于我们的开拓之旅,706745.0,115540.0,31167.0,265.0,15269.0,1704.0,3675.0,MMD·3D,清水煮油条,105.0,2026-07-15 11:00:00,2026-07-15,11,动画/二次元,9,工作日,早间(6-11)
鬼畜全明星！3.0,1232288.0,70750.0,9914.0,291.0,2375.0,966.0,2469.0,鬼畜剧场,浪浪山小蛋仔,67.0,2026-07-14 23:19:00,2026-07-14,23,动画/二次元,9,工作日,晚间(18-23)
《梦战：剑之海》概念先导CG首曝丨一个新的兰古利萨时代，即将开启,1295043.0,27277.0,27473.0,858.0,56297.0,1062.0,9012.0,手机游戏,梦战剑之海,218.0,2026-07-16 10:00:00,2026-07-16,10,游戏,32,工作日,早间(6-11)
他们说学校里有一个很装的人,283966.0,38785.0,7315.0,199.0,1226.0,961.0,2551.0,同人·手书,hands2,67.0,2026-07-16 15:00:00,2026-07-16,15,动画/二次元,13,工作日,午间(12-17)
烧一桌中式家常菜，款待十年没见的法国老友！,1809546.0,145254.0,9819.0,2467.0,4972.0,4028.0,1271.0,美食制作,主厨广坦,234.0,2026-07-14 17:13:00,2026-07-14,17,生活,21,工作日,午间(12-17)
我前男友嗑药死了，我朋友也嗑药死了，如今我终于醒悟，摆脱药物做了一个正常人,632302.0,9622.0,5463.0,956.0,1541.0,430.0,3486.0,出行,摩的司机徐师傅,3024.0,2026-07-16 08:00:00,2026-07-16,8,生活,37,工作日,早间(6-11)
这才是《The Other Side Of Paradise》原版MV！,6634006.760000001,477155.0100000002,280786.0,14115.0,113127.0,4140.0,15890.0,MV,妙手回春杨某人,321.0,2026-07-10 10:00:00,2026-07-10,10,动画/二次元,36,工作日,早间(6-11)
打工人怨气最大的一集,2489242.0,262153.0,77340.0,6956.0,11734.0,7284.0,42987.0,鬼畜剧场,绿化锂,62.0,2026-07-15 08:57:00,2026-07-15,8,动画/二次元,10,工作日,早间(6-11)
逆天小游戏2327,3014648.0,219357.0,19544.0,1313.0,3126.0,1028.0,1082.0,单机游戏,小白云玩游戏,90.0,2026-07-14 18:00:00,2026-07-14,18,游戏,9,工作日,晚间(18-23)
